batch_id	phase	issue_number	node_id	former_url	raw_sha256	governed_destination	merged_commit	actor	timestamp_utc	result
completed-001	pre_delete	8	I_kwDOONYVBs8AAAABBx2f4A	https://github.com/pdomain/pdomain-book-tools/issues/8	73be7f8298730f953655ec77c707e4c2d53691080d47353a07941a087f7afd5c	This ledger; `tests/ocr/test_page_rendering_helpers_coverage.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	9	I_kwDOONYVBs8AAAABBx2f_A	https://github.com/pdomain/pdomain-book-tools/issues/9	ef5d97c8e86d7764372344ebefa1f778d01f50af3fc9b5e6c1993ce7d7104263	This ledger; `tests/ocr/test_page_training_set_generators.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	10	I_kwDOONYVBs8AAAABBx2gFQ	https://github.com/pdomain/pdomain-book-tools/issues/10	97f3d56fd63d4eb376a66842246f646172e74f93c866740fc081ab4236be658e	This ledger; `tests/ocr/test_ground_truth_matching_coverage.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	11	I_kwDOONYVBs8AAAABBx2gMQ	https://github.com/pdomain/pdomain-book-tools/issues/11	42a1d34fa3111e025e524583c6ceb300e7e71c1c86f566949206bdc3773d22a4	This ledger; `docs/architecture/tesseract-integration.md`; `tests/ocr/test_cv2_tesseract.py`; `pdomain_book_tools/ocr/cv2_tesseract.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	12	I_kwDOONYVBs8AAAABBx2gSQ	https://github.com/pdomain/pdomain-book-tools/issues/12	46ed69aee9312e925d85fb270f07ce273672db62e8d9daf805c8d5ed2a08637d	This ledger; `pyproject.toml`; `Makefile`; `scripts/coverage_reporter.py`; coverage tests	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	13	I_kwDOONYVBs8AAAABBx2gWw	https://github.com/pdomain/pdomain-book-tools/issues/13	04a7b69428b302b5b87d4317ec35e39a87ee3c940028cc7d53b0ccfab3d49992	This ledger; `docs/specs/06a-word-reference-lines-audit.md`; `docs/specs/06b-word-reference-lines-api.md`; `docs/specs/06c-word-reference-lines-testing.md`; `docs/specs/_index.md`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	14	I_kwDOONYVBs8AAAABBx__sw	https://github.com/pdomain/pdomain-book-tools/issues/14	63abf3d968c93d9b00d1f5dc4964e7ee0db2935a45f278edace861799b875c99	This ledger; `tests/ocr/test_reorganize_page_utils_grouping.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	18	I_kwDOONYVBs8AAAABBzkbJg	https://github.com/pdomain/pdomain-book-tools/issues/18	c4987a504213d2c9d2517962f97966d1256bb7d2da008161f653d6f8a9d61ce7	This ledger; immutable raw export	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	19	I_kwDOONYVBs8AAAABBzmjlw	https://github.com/pdomain/pdomain-book-tools/issues/19	cd0fa4f2ab1ea6d1c434a0ce91c280d11d6cca44391973fefbed927daf9506b8	This ledger; immutable raw export	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	pre_delete	21	I_kwDOONYVBs8AAAABBzruAw	https://github.com/pdomain/pdomain-book-tools/issues/21	a83905de9e99040e6010943055ffbe3353e23e475686eedbcb49ad4a6b574d46	This ledger; immutable raw export	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:35:09Z	ready
completed-001	post_delete_verification	8	I_kwDOONYVBs8AAAABBx2f4A	https://github.com/pdomain/pdomain-book-tools/issues/8	73be7f8298730f953655ec77c707e4c2d53691080d47353a07941a087f7afd5c	This ledger; `tests/ocr/test_page_rendering_helpers_coverage.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:36:32Z	deleted_verified
completed-001	post_delete_verification	9	I_kwDOONYVBs8AAAABBx2f_A	https://github.com/pdomain/pdomain-book-tools/issues/9	ef5d97c8e86d7764372344ebefa1f778d01f50af3fc9b5e6c1993ce7d7104263	This ledger; `tests/ocr/test_page_training_set_generators.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:36:32Z	deleted_verified
completed-001	post_delete_verification	10	I_kwDOONYVBs8AAAABBx2gFQ	https://github.com/pdomain/pdomain-book-tools/issues/10	97f3d56fd63d4eb376a66842246f646172e74f93c866740fc081ab4236be658e	This ledger; `tests/ocr/test_ground_truth_matching_coverage.py`	6842ec6b11c06c9b987b384b4abf7e9dc4699014	ConcaveTrillion	2026-07-19T15:36:32Z	deleted_verified
